product_name,description,how_it_fits,composition_care,sale_price,color,images
Levi's® Men's Band Tee,"Our Band Tee was created as an homage to some of our favorite music. We made this one with a classic crew neckline, a relaxed fit and a one-of-a-kind Joy Division graphic design.
An homage to some of our favorite music
Cut with a relaxed fit
Features a Joy Division graphic design",Crewneck; Short Sleeve,100% Cotton,"1,290 ฿","['Jd Love Will Tear Us Apart White+', 'Jd Love Will Tear Us Apart Caviar']",https://levi.co.th/cdn/shop/files/24_H2_MT_000H0-0021_EAS_PS_ON_DA_f040cb10-abb3-446d-aeb3-291efc61c4b7.jpg?v=1728044586&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_000H0-0021_EAS_PS_ON_BV_8970ae85-8ee8-49c6-a151-bd9a8d4c911b.jpg?v=1728044586&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_000H0-0021_EAS_PS_ON_FV_2d53753e-b07d-4b53-90e6-dd7d876362f9.jpg?v=1728044586&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_000H0-0021_EAS_PS_ON_D1_d08f59df-a900-4048-846f-87f0256bf74b.jpg?v=1728044586&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_000H0-0021_EAS_PS_LD_FV_c8cc6599-6be9-42f6-951a-f5a2f808b3a6.jpg?v=1728044586&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_000H0-0021_EAS_PS_LD_D1_499a37c9-164e-4469-81a3-828cb209583f.jpg?v=1728044586&width=416
Levi's® Vintage Clothing Men's 1944 501® Jeans,"Everything changed during World War II: American media, the workforce and even the jeans Americans wore. In order to conserve raw materials for the war effort, the United States government mandated all clothing manufacturers to remove a certain amount of metal, fabric and thread from their garments. And so off came the watch pocket rivets, the crotch rivet and the...
Read more","Non-Stretch; An archival reproduction of 1944 501® Jeans; Made without the watch pocket rivets, crotch rivet, and the back waist cinch to conserve raw materials for the war effort; Features the iconic arcuate painted on the back pocket as a solution to rationing; True to the original, it features varied pocket bag material, unbranded rivets and unbranded standard-issue buttons with a laurel leaf design; Constructed with two back pockets and concealed rivets; Model is 6'2"" with a 29"" waist. They're wearing a size medium.","100% Organic Cotton; Wash your jeans once every 10 wears at most; this increases their lifespan and saves natural resources.Machine wash cold, Do not bleach, Tumble dry medium, Hot iron if needed, Do not dry clean, Wash inside out with like colors, Shrinkage in wash approximately 10%; We made this garment with organically grown cotton","9,990 ฿",['Dark Indigo Organic 1944'],https://levi.co.th/cdn/shop/files/23_H2_MB_44501-0088_EAS_PS_ON_FA_5b90e133-4dab-480c-8778-f83ad31a638b.jpg?v=1719323874&width=416; https://levi.co.th/cdn/shop/files/23_H2_MB_44501-0088_EAS_PS_ON_BV_0c40359c-537a-4a76-9250-ce11da1b39d4.jpg?v=1719323874&width=416; https://levi.co.th/cdn/shop/files/23_H2_MB_44501-0088_EAS_PS_ON_SV_41144aab-538e-4753-a024-c7c98cc510ba.jpg?v=1719323874&width=416; https://levi.co.th/cdn/shop/files/23_H2_MB_44501-0088_EAS_PS_ON_FV_03e1f9b1-7611-449b-a7e0-f268fa6a9cc8.jpg?v=1719323874&width=416; https://levi.co.th/cdn/shop/files/23_H2_MB_44501-0088_EAS_PS_LE_FV_bc9a4145-8841-4b5c-ae2f-bf4585630a01.jpg?v=1719323874&width=416; https://levi.co.th/cdn/shop/files/23_H2_MB_44501-0088_EAS_PS_LE_BV_5d9fdf87-638a-4a2c-896c-07c3b71a03f3.jpg?v=1719323874&width=416
Levi's® WellThread® Women's Iris Relaxed Type II Trucker Jacket,"Levi's® WellThread® is a collection designed at the intersection of sustainability and innovation. Classic product with timeless design, carefully crafted to be reused or recycled.This vintage-inspired jacket is a throwback to Levi’s® Type II Trucker Jacket, which is known for its unique pleated detail and two-flap pocket design. Our Iris Relaxed Type II Trucker Jacket is an homage to the...
Read more",Non-Stretch; Button-down collar; Long Sleeve,"100% Cotton (Transitional); Machine wash cold, Do not bleach, Tumble dry medium, Warm iron if needed, Dry cleaning possible, Wash inside out with like colors; Natural dyes","5,190 ฿",['Relaxed Rigid'],https://levi.co.th/cdn/shop/files/levis-wellthread-womens-iris-relaxed-type-ii-trucker-jacket-a91860000_EAS_PS_ON_DA_f3a45551-331f-4724-b38d-c38c9650a238.jpg?v=1723723269&width=416; https://levi.co.th/cdn/shop/files/levis-wellthread-womens-iris-relaxed-type-ii-trucker-jacket-a91860000_EAS_PS_ON_BV_f034e677-ea5e-4612-9004-022a8c8e4503.jpg?v=1723723269&width=416; https://levi.co.th/cdn/shop/files/levis-wellthread-womens-iris-relaxed-type-ii-trucker-jacket-a91860000_EAS_PS_ON_FV_92ef6eff-e1f3-4600-a934-e9aac2c0fc3b.jpg?v=1723723269&width=416; https://levi.co.th/cdn/shop/files/levis-wellthread-womens-iris-relaxed-type-ii-trucker-jacket-a91860000_EAS_PS_ON_D1_6ce69896-e331-44d1-9924-db6f9d2f7bff.jpg?v=1723723269&width=416; https://levi.co.th/cdn/shop/files/levis-wellthread-womens-iris-relaxed-type-ii-trucker-jacket-a91860000_EAS_PS_LD_FV_8b1ec801-4c6d-407f-8ab0-06438334e1e8.jpg?v=1723723269&width=416; https://levi.co.th/cdn/shop/files/levis-wellthread-womens-iris-relaxed-type-ii-trucker-jacket-a91860000_EAS_PS_LD_D1_0b0802c8-30f4-48cf-be0c-39d3f7b7919b.jpg?v=1723723269&width=416
Levi's® Men's Headline Bucket Hat,Our Headline Bucket Hat makes an outfit. We gave it the Levi's® treatment with our signature branding and comfortablel fit.,An easy bucket hat; With our signature branding,100% COTTON; Hand Wash,"1,190 ฿",['Regular Grey'],https://levi.co.th/cdn/shop/files/000AE-0003_EAS_PS_LD_FV.jpg?v=1737448470&width=416; https://levi.co.th/cdn/shop/files/000AE-0003_EAS_PS_LD_BV.jpg?v=1737448470&width=416
Levi's® Women's Ribcage Straight Ankle Tailored Jeans,"Our highest high rise yet. Our Ribcage Straight Ankle Tailored jeans—with their soaring high rise—have become a waist-defining, leg-lengthening obsession. This fit will show off your figure and make you feel as amazing as you look.
A versatile fit with a flattering high-rise
Finished with a classic straight leg
Hits at the ankle with a cuffed design
Crafted with a...
Read more","Stretch; Button fly; Non 5 Pocket; Straight leg; Inseam: 27"",Leg opening: 17"",Measurements based on size 27 waist","99% Cotton, 1% LYCRA®®; Wash your jeans once every 10 wears at most; this increases their lifespan and saves natural resources.Machine wash cold, Do not bleach, Tumble dry medium, Warm iron if needed, Dry cleaning possible, Wash inside out with like colors","3,490 ฿","['Off Topic', 'Valley View']",https://levi.co.th/cdn/shop/files/24_H2_WB_A8718-0000_EAS_PS_ON_DA_5b44da19-0551-4ec6-ba5c-e16410b220ed.jpg?v=1732005409&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8718-0000_EAS_PS_ON_BV_0d0f98df-1426-4ca7-b6d3-af687b7c2e56.jpg?v=1732005409&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8718-0000_EAS_PS_ON_FV_1528bbd5-f08d-4abc-8611-2f5791b3b10f.jpg?v=1732005409&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8718-0000_EAS_PS_ON_SV_8d762165-336a-47fa-b1ac-6042366f5400.jpg?v=1732005409&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8718-0000_EAS_PS_ON_D1_98e8e09b-6de6-4233-8587-78b7032e1998.jpg?v=1732005409&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8718-0000_EAS_PS_ON_D2_3a3b0beb-b3fd-487c-ac86-36d1e1e15fbb.jpg?v=1732005409&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8718-0000_EAS_PS_LD_FV_f55802ad-0a26-4939-a40b-fad81c19d88b.jpg?v=1732005409&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8718-0000_EAS_PS_LD_D1_01e47da4-7047-4525-8a8e-6e6b97a2757e.jpg?v=1732005409&width=416
Levi's® Women's Lazy Girl Logo Cap,"Top off your outfit with this essential Lazy Girl Logo Cap. It's crafted with durable cotton and features a one-of-a-kind logo.
An essential cap perfect for everyday wear
With an adjustable closure
Features a one-of-a-kind logo
Made with denim fabric and a leather strap","27 cm (length) x 18 cm (width) x 12 cm (height); Buckle; Model is 5'7"" with a 24"" waist. They're wearing a size small.",100% Cotton,790 ฿,['Medium Red'],https://levi.co.th/cdn/shop/files/levis-womens-lazy-girl-logo-cap-24_H2_000AG-0001_EAS_PS_LD_FV_50b960a4-f659-46f1-ba23-9a7e9e94b743.jpg?v=1732005672&width=416; https://levi.co.th/cdn/shop/files/levis-womens-lazy-girl-logo-cap-24_H2_000AG-0001_EAS_PS_LD_BV_1a680562-a0bf-4114-9032-a154aa372196.jpg?v=1732005672&width=416
Levi's® Women's 501® Original Lightweight Cropped Jeans,"Close your eyes. Think “jeans.” Now open. They were 501® Originals, right? With a classic straight leg and iconic styling, they’re literally the blueprint for every pair of modern jeans—burned into the world’s collective cortex ever since Levi Strauss (the man himself!) introduced them in 1873. To this day they’ve never gone out of style. And they never will. Plus,...
Read more","Non-stretch; The original blue jeans with a cropped cut; Our signature straight fit; A blank canvas for customization and self-expression; This lightweight garment is made from supersoft, ultra-comfortable fabric. Warning: Spontaneous napping may occur.","79% Cotton, 21% Lyocell (Lenzing TENCEL™ Lyocell); Wash your jeans once every 10 wears at most; this increases their lifespan and saves natural resources.Machine wash cold, Do not bleach, Tumble dry medium, Warm iron if needed, Dry cleaning possible, Wash inside out with like colors","3,190 ฿",['Fun Flare Lb'],https://levi.co.th/cdn/shop/files/24_H2_WB_A8746-0002_EAS_PS_ON_DA_4ed47749-4903-42d2-8d0e-b178d5cee8f0.jpg?v=1737448118&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8746-0002_EAS_PS_ON_BV_f7816408-58e4-4a27-b3e0-d98af5ccb00d.jpg?v=1737448118&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8746-0002_EAS_PS_ON_SV_0b9ed4cc-6557-47e8-bd7f-5073ddeabc57.jpg?v=1737448118&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8746-0002_EAS_PS_ON_FV_0a6c1c49-2c0d-40d3-8b71-464400676247.jpg?v=1737448118&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8746-0002_EAS_PS_ON_D1_ac4c3b43-0823-4a21-ab45-4b787335c939.jpg?v=1737448118&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8746-0002_EAS_PS_ON_D2_9c1af47f-9a1b-4e7b-9113-9880257bf9a6.jpg?v=1737448118&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8746-0002_EAS_PS_LD_FV_f3dc931d-f229-47e9-8006-2250957d974e.jpg?v=1737448118&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A8746-0002_EAS_PS_LD_D1_36cf8b75-0f58-409c-9ca8-20afc4c34878.jpg?v=1737448118&width=416
Levi's® Women's Mid-Rise Boyfriend Jeans,"When it comes to being comfortable, no jean has your back quite like our Mid-Rise Boyfriend. Loose and slouchy, this pair works whether you want to keep things ultra-laidback or all dressed up.
An easy, relaxed fit with effortless style
Borrowed-from-the-boys look
Finished with a tapered leg
Authentic denim character enhanced with supersoft stretch. For jeans that'll leave you starry-eyed....
Read more","Stretch; Zip fly; 5-pocket styling; Tapered Leg; Inseam: 27 (unrolled), 25 (rolled)"",Leg opening: 13"",Measurements based on size 27 waist; Model is 5'9"", Waist 25"", Wearing size 26 x 27","80% Cotton, 19% Polyester, 1% LYCRA®®; Wash your jeans once every 10 wears at most; this increases their lifespan and saves natural resources.Machine wash cold, Do not bleach, Tumble dry medium, Warm iron if needed, Dry cleaning possible, Wash inside out with like colors","2,890 ฿","['Slate Oahu Morning Dew', 'Boat Day', 'Cool Wild Times', 'Still Here', 'Meteorite Twill', 'Driving Away', 'Two Time', 'Cool Agenda', 'Another One']",https://levi.co.th/cdn/shop/files/WB_19887-0360_EAS_PS_ON_FV_144c1c85-3d49-4104-bdec-446ae40332f7.jpg?v=1735573423&width=416; https://levi.co.th/cdn/shop/files/WB_19887-0360_EAS_PS_ON_BV_28543a56-9cb9-4dd0-9cd9-0c1a00e0d08c.jpg?v=1735573423&width=416; https://levi.co.th/cdn/shop/files/WB_19887-0360_EAS_PS_ON_SV_8171d409-f0d6-48c7-bad4-dd2351e45be1.jpg?v=1735573423&width=416; https://levi.co.th/cdn/shop/files/WB_19887-0360_EAS_PS_ON_D2_333da376-f4ed-4990-8726-8d84bc9760c0.jpg?v=1735573423&width=416; https://levi.co.th/cdn/shop/files/WB_19887-0360_EAS_PS_LD_FV_1afd9614-1f5d-4a68-b4cf-8a53446dc2da.jpg?v=1735573423&width=416; https://levi.co.th/cdn/shop/files/WB_19887-0360_EAS_PS_LD_BV_28b725f6-f117-4b2f-95b9-d0e0aa473025.jpg?v=1735573423&width=416; https://levi.co.th/cdn/shop/files/WB_19887-0360_EAS_PS_LD_D1_d719b0fa-b37d-4d12-ab86-08b734012ed1.jpg?v=1735573423&width=416
Levi’s® Women's 315 Shaping Bootcut Jeans,"It's all in the name. Our supportive, soft 315 Shaping Bootcut jeans lengthen your legs, hug your curves and celebrate your features. Plus, they're designed with a built-in front panel that smooths and supports.
Super-comfortable jeans with a flattering bootcut silhouette
Made to flatter your figure and celebrate your form
Designed with a built-in tummy panel that flatters, smooths and...
Read more","Stretch; Zip fly; 5-pocket styling; Skinny Leg; Inseam: 32"",Leg opening: 17"",Measurements based on size 27 waist; Model is 5'10"", Waist 29"", Wearing size 29 x 30","60% Cotton, 16% Polyester, 23% Viscose (ECOVERO™), 1% LYCRA®®; Wash your jeans once every 10 wears at most; this increases their lifespan and saves natural resources.Machine wash cold, Do not bleach, Tumble dry medium, Warm iron if needed, Dry cleaning possible, Wash inside out with like colors","2,890 ฿","['Soft Black', 'Lapis Topic']",https://levi.co.th/cdn/shop/files/WB_19632-0094_EAS_PS_ON_D2_aef4db90-9a6c-4ab6-93e5-3ff6284c5683.jpg?v=1735525193&width=416; https://levi.co.th/cdn/shop/files/WB_19632-0094_EAS_PS_ON_D3_6ece57f8-a003-4246-969e-7157bb91a105.jpg?v=1735525193&width=416; https://levi.co.th/cdn/shop/files/WB_19632-0094_EAS_PS_ON_D4_050839fd-3d47-47ab-8092-99b7cb710b2c.jpg?v=1735525193&width=416; https://levi.co.th/cdn/shop/files/WB_19632-0094_EAS_PS_LD_D1_a3fb4731-3956-4e54-8196-3a119896c6b9.jpg?v=1735525193&width=416; https://levi.co.th/cdn/shop/files/WB_19632-0094_EAS_PS_LD_FV_f8552a75-5453-4d09-b969-824939873b78.jpg?v=1735525193&width=416; https://levi.co.th/cdn/shop/files/WB_19632-0094_EAS_PS_ON_D1_43f30019-0b0e-46ea-a0a3-aea25bdd2958.jpg?v=1735525193&width=416
Levi's® Men's 501® Slim Taper Jeans,"The iconic 501® Original — updated with a slim tapered leg. We took our bestseller and reinterpreted it with a sleek leg that narrows down to the ankle.
The original jean since 1873
Timeless, and made to last forever
Made with our Comfort Stretch that features a hint of stretch for all day comfort
Signature button fly
Stonewash in...
Read more","Stretch; Regular through the thigh; Straight leg opening; Sits at the waist; Button fly; 5-pocket styling; Straight leg; Front rise: 11"", Knee: 16 1/2"", Leg Opening: 14"", Measurements based on size 32.; Model is 6' with a 30"" waist. They're wearing a size medium.","99% Cotton, 1% Elastane (Lycra®); Machine wash cold - normal cycle. Wash inside out with like colors, do not bleach, tumble dry medium, warm iron, dry clean possible","3,490 ฿","['Medium Indigo Stonewash', 'Runaway Train', 'Drive Away Selvedge', 'The Walls Selvedge']",https://levi.co.th/cdn/shop/files/levis-mens-501-slim-taper-jeans-288940247_1_ON_DA.jpg?v=1713354912&width=416; https://levi.co.th/cdn/shop/files/levis-mens-501-slim-taper-jeans-288940247_2_ON_BV.jpg?v=1713354912&width=416; https://levi.co.th/cdn/shop/files/levis-mens-501-slim-taper-jeans-288940247_3_ON_SV.jpg?v=1713354912&width=416; https://levi.co.th/cdn/shop/files/levis-mens-501-slim-taper-jeans-288940247_4_ON_FV.jpg?v=1713354912&width=416; https://levi.co.th/cdn/shop/files/levis-mens-501-slim-taper-jeans-288940247_5_ON_FA.jpg?v=1713354912&width=416
Levi's® Men's Red Tab™ Vintage T-Shirt,"We found this Levi's® garment in a vintage shop and loved it so much that we decided to revive it for the 21st century. With supersoft 100% cotton jersey and a relaxed fit, this Red Tab™ Vintage T-Shirt is the essential tee at its very finest.
A revival of a vintage shop find
Made with heavier jersey for a premium...
Read more","Non-stretch; Relaxed fit; Crewneck; Short sleeves; Model is 6'2"" with a 29"" waist. They're wearing a size medium.","100% Cotton; Wash and dry inside out with like colors, preferably with a liquid detergent; ECOVERO™ is a trademark of Lenzing AG.","1,190 ฿","['White', 'Mineral Black', 'Dress Blues Garment Dye Dress Blues', 'Tbd31', 'Tbd24', 'Tbd25', 'Stones Throw Mineral Wash Silent Storm', 'Stones Throw Mineral Wash Infinity', 'Break Stripe Porridge Heather', 'Tbd15']",https://levi.co.th/cdn/shop/files/levis-mens-red-tab-vintage-t-shirt-a06370058_1_ON_DA.jpg?v=1713358687&width=416; https://levi.co.th/cdn/shop/files/levis-mens-red-tab-vintage-t-shirt-a06370058_7_ON_D1.jpg?v=1713358687&width=416; https://levi.co.th/cdn/shop/files/levis-mens-red-tab-vintage-t-shirt-a06370058_16_LE_FV.jpg?v=1713358688&width=416; https://levi.co.th/cdn/shop/files/levis-mens-red-tab-vintage-t-shirt-a06370058_17_LE_BV.jpg?v=1713358688&width=416; https://levi.co.th/cdn/shop/files/levis-mens-red-tab-vintage-t-shirt-a06370058_21_LE_D1.jpg?v=1713358688&width=416
Levi's® Women's '94 Baggy Jeans,"Big jeans were synonymous with the nineties, but no matter the decade, it's been proven that these '94 Baggy jeans will never go out of style. They’re effortless and sit high on your waist, making whatever you pair them with look just that much better.
A vintage-inspired fit updated with a mid rise
Finished with a straight leg
Features an...
Read more","Non-Stretch; Zip fly; 5-pocket styling; Straight leg; Inseam: 31"",Leg opening: 16 1/2"",Measurements based on size 27 waist; Model is 5'10"", Waist 29"", Wearing size 29 x 30","95% Cotton, 5% Recycled Cotton; Wash your jeans once every 10 wears at most; this increases their lifespan and saves natural resources.Machine wash cold, Do not bleach, Tumble dry medium, Hot iron if needed, Dry cleaning possible, Wash inside out with like colors","2,890 ฿","['Abraided Art', 'Worn Memory', 'Amazing Way']",https://levi.co.th/cdn/shop/files/24_H2_WB_A3510-0035_EAS_PS_ON_FV_8f26d4ac-96ca-477d-b55d-6a73f45c46a2.jpg?v=1735795210&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_A3510-0035_EAS_PS_ON_BV_3338ba7f-e64a-4046-8c25-6b531920022c.jpg?v=1735795211&width=416
Levi's® Men's 501® Original Jeans,"Close your eyes. Think “jeans.” Now open. They were 501® Originals, right? With a classic straight leg and iconic styling, they’re literally the blueprint for every pair of modern jeans—burned into the world’s collective cortex ever since Levi Strauss (the man himself!) introduced them in 1873. To this day they’ve never gone out of style. And they never will. Plus,...
Read more","Model is 5'7"" with a 27"" waist. They're wearing a size small.",,"3,490 ฿","['On The Borderline', 'Help Me Out', 'Just Do You', 'Chemicals', 'Be Above It']",https://levi.co.th/cdn/shop/files/24_H2_MB_00501-3592_EAS_PS_ON_DA_b76b2ac3-0ed4-4457-a078-25db1b4d452b.jpg?v=1721211695&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_00501-3592_EAS_PS_ON_BV_c99d4ff7-091f-47dc-af1a-09d45a1b3be8.jpg?v=1721211695&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_00501-3592_EAS_PS_LD_FV_c18b18cf-5155-4562-98d9-90d803d8e2ae.jpg?v=1721211695&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_00501-3592_EAS_PS_ON_SV_5b8d53fb-bd0c-424f-b54e-d7876fce0fc8.jpg?v=1721211695&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_00501-3592_EAS_PS_ON_D1_57608e4a-b639-4d69-9d58-7e71869cd6ce.jpg?v=1721211695&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_00501-3592_EAS_PS_ON_D2_43e1330c-d33b-466a-b6f1-30b99518dfdb.jpg?v=1721211695&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_00501-3592_EAS_PS_ON_FV_8e781a42-ac20-4332-bda0-87e6f0617bb0.jpg?v=1721211695&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_00501-3592_EAS_PS_LD_D1_69bb0848-eb78-46b0-aeba-868b119b6acb.jpg?v=1721211695&width=416
Levi's® x UNDERCOVER Type III Trucker Jacket,"We joined forces with UNDERCOVER to celebrate the 35th anniversary of Jun Takahashi’s epochal brand. Combining UNDERCOVER’s rich, archival influences with Levi’s® unmistakable DNA, this second collection introduces thoughtfully designed pieces that celebrate detailed craftsmanship, innovation and individuality.This limited-edition Type III Trucker Jacket features the same iconic fit you know and love with UNDERCOVER artwork and a mix of screen-printed and embroidered...
Read more",Regular; Long Sleeve,100% Cotton,"6,990 ฿",['Black'],https://levi.co.th/cdn/shop/files/MT_001YW-0000_EAS_PS_LD_FV.jpg?v=1736862395&width=416; https://levi.co.th/cdn/shop/files/MT_001YW-0000_EAS_PS_LD_BV.jpg?v=1736862395&width=416; https://levi.co.th/cdn/shop/files/MT_001YW-0000_EAS_PS_LD_D1.jpg?v=1736862395&width=416; https://levi.co.th/cdn/shop/files/MT_001YW-0000_EAS_PS_LD_D2.jpg?v=1736862395&width=416
Levi's® Men's 511™ Slim Jeans,"Think of this modern slim as not-so-skinny skinny jeans. (If you want the style, but not the feeling, this is a great alternative.) With a streamlined fit that’s narrow through the seat and thigh, our 511™ Slim is perfectly calibrated to look good with everything—without looking like you’re trying too hard.","Stretch; The definitive slim jeans; Narrow through the seat and thigh, but still roomy; Designed to fit like they’ve been tailored just for you; Finished with our iconic arcuate stitching; Woven with a hint of stretch for all-day comfort and ease of movement; Model is 6'1"" with a 31"" waist. They're wearing a size 31 x 32.","84% cotton, 15% polyester (Sorbtek), 1% elastane (LYCRA®); Machine wash cold - normal cycle. wash inside out with like colors, do not bleach, tumble dry medium, hot iron, dry clean possible","3,490 ฿","['Native Cali', 'Hint Of Cool']",https://levi.co.th/cdn/shop/files/levis-mens-511-slim-jeans-045115847_5_ON_FA.jpg?v=1713351665&width=416; https://levi.co.th/cdn/shop/files/levis-mens-511-slim-jeans-045115847_2_ON_BV.jpg?v=1713351665&width=416; https://levi.co.th/cdn/shop/files/levis-mens-511-slim-jeans-045115847_3_ON_SV.jpg?v=1713351665&width=416; https://levi.co.th/cdn/shop/files/levis-mens-511-slim-jeans-045115847_1_ON_FV.jpg?v=1713351665&width=416; https://levi.co.th/cdn/shop/files/levis-mens-511-slim-jeans-045115847_16_LE_FV.jpg?v=1713351665&width=416
Levi's® Women's 501® Original Cropped Jeans,"Close your eyes. Think “jeans.” Now open. They were 501® Originals, right? With a classic straight leg and iconic styling, they’re literally the blueprint for every pair of modern jeans in existence—burned into the world’s collective cortex ever since Levi Strauss (the man himself!) introduced them in 1873. To this day they’ve never gone out of style. And they never...
Read more","Stretch; Our timeless 501® Originals, reinterpreted for today with a modern cropped length; Our signature straight fit; A blank canvas for customization and self-expression; Hold the H2O: This garment was made using recycled water, which helps us to reduce our impact on this finite resource","99% Cotton, 1% LYCRA®®; Wash your jeans once every 10 wears at most; this increases their lifespan and saves natural resources.Machine wash cold, Do not bleach, Tumble dry medium, Warm iron if needed, Dry cleaning possible, Wash inside out with like colors","3,190 ฿","['Wow Me Over', 'Scanned Answers']",https://levi.co.th/cdn/shop/files/WB_36200-0345_EAS_PS_ON_DA_69c00f65-544d-406d-9ef5-bfe7551a94a8.jpg?v=1737448102&width=416; https://levi.co.th/cdn/shop/files/WB_36200-0345_EAS_PS_ON_SV_7096928b-9da1-4eb0-963f-21ec12bb086a.jpg?v=1737448102&width=416; https://levi.co.th/cdn/shop/files/WB_36200-0345_EAS_PS_ON_FV_d18010d6-6898-49d0-8264-dcd29581222f.jpg?v=1737448102&width=416; https://levi.co.th/cdn/shop/files/WB_36200-0345_EAS_PS_ON_D2_d49d9c36-c3ea-4acd-8391-67823c913362.jpg?v=1737448102&width=416; https://levi.co.th/cdn/shop/files/WB_36200-0345_EAS_PS_ON_D1_c199518d-d2a1-4b46-9b3e-c58d90b6fda9.jpg?v=1737448102&width=416; https://levi.co.th/cdn/shop/files/WB_36200-0345_EAS_PS_LD_FV_12f26c0f-c095-476c-aeab-36d8d7169943.jpg?v=1737448102&width=416; https://levi.co.th/cdn/shop/files/WB_36200-0345_EAS_PS_LD_BV_8981e2ec-55b3-4b54-8254-e812eb7c4fbc.jpg?v=1737448102&width=416; https://levi.co.th/cdn/shop/files/WB_36200-0345_EAS_PS_LD_D1_9eb04692-c748-4f22-a8da-cba6694b6851.jpg?v=1737448102&width=416
Levi's® Men's 501® Original Jeans,"Close your eyes. Think “jeans.” Now open. They were 501® Originals, right? With a classic straight leg and iconic styling, they’re literally the blueprint for every pair of jeans in existence—burned into the world’s collective cortex ever since Levi Strauss (the man himself!) invented them in 1873. To this day they’ve never gone out of style. And they never will.
...
Read more","Non-stretch; Regular through the thigh; Straight leg opening; Sits at the waist; Button fly; 5-pocket styling; Model is 5'9"" with a 25"" waist. They're wearing a size small.","100% Cotton; Wash your jeans once every 10 wears at most. this increases their lifespan and saves natural resources, When you eventually launder your jeans, wash and dry them inside out with like colors. liquid detergent is recommended","3,490 ฿","['Black', 'Crispy Rinse', 'Authentic Vintage', 'Only You', 'People Everywhere Stretch', ""It's Time To Go Stretch""]",https://levi.co.th/cdn/shop/files/levis-mens-501-original-jeans-005011485_5_ON_FA.jpg?v=1713353822&width=416; https://levi.co.th/cdn/shop/files/levis-mens-501-original-jeans-005011485_2_ON_BV.jpg?v=1713353822&width=416; https://levi.co.th/cdn/shop/files/preview_images/ama_005010165_h264main_Autox1080_5000K_e148b157-59f7-43f8-866b-b91653c6dbf8.jpg?v=1707210281&width=416; https://levi.co.th/cdn/shop/files/levis-mens-501-original-jeans-005011485_3_ON_SV.jpg?v=1713350673&width=416; https://levi.co.th/cdn/shop/files/levis-mens-501-original-jeans-005011485_1_ON_FV.jpg?v=1713350673&width=416
Levi's® Women's Boxy Tank,"The definition of a warm-weather staple, our Boxy Tank features a crew neckline, a sleeveless design and a relaxed fit for extra movement.","A warm-weather staple; Cut with a relaxed, boxy fit; Features a sleeveless design","100% Cotton; Machine wash cold, Do not bleach, Tumble dry low, Warm iron if needed, Dry cleaning possible, Wash inside out with like colors",690 ฿,"['White + Triblend', 'Caviar Slub']",https://levi.co.th/cdn/shop/files/24_H2_WT_A8794-0008_EAS_PS_ON_DA_bdb65ba5-4697-4405-be3a-1728a41881ca.jpg?v=1719323298&width=416; https://levi.co.th/cdn/shop/files/24_H2_WT_A8794-0008_EAS_PS_ON_BV_b2680d9b-912e-4743-8268-f8d9ded88ecd.jpg?v=1719323298&width=416; https://levi.co.th/cdn/shop/files/24_H2_WT_A8794-0008_EAS_PS_ON_FV_51eabf76-0dae-41d2-9d5e-d57c53d258a6.jpg?v=1719323298&width=416; https://levi.co.th/cdn/shop/files/24_H2_WT_A8794-0008_EAS_PS_ON_D1_9bd0fdf2-7f26-4276-b49b-21c606bee9c2.jpg?v=1719323298&width=416
